id,Value
0,1004.2725469945941
1,903.1335676943003
2,894.6137231688549
3,877.9151607766128
4,863.5704609276135
5,837.1350681849244
6,822.4114603681332
7,536.1486077203012
8,-167.53682428249124
9,-167.53682428249124
10,-34.98694917513353
11,912.0333664253374
12,920.0604090165239
13,843.9275680293997
14,803.7890162950895
15,849.0905692303365
16,856.3020545999167
17,848.5154218775002
18,868.2759218821029
19,893.3563054371398
20,967.5733616674972
21,970.6176694621684
22,982.1487818389037
23,983.9083631221994
24,925.1426745589217
25,902.311598565359
26,884.4323741417152
27,847.4265154635293
28,818.23756069614
29,808.2529790579816
30,941.2656557788773
31,922.8675080018127
32,884.9451939050799
33,855.0098578008254
34,836.4895809020553
35,836.7275092088396
36,875.9845902370785
37,865.9190714131757
38,816.7129323620401
39,888.8613372344698
40,880.5218729933555
41,891.9200588970996
42,870.3711428041208
43,857.095678967146
44,850.8522328569717
45,866.4900550856852
46,909.1975384914492
47,894.8995986546552
48,902.7511413770601
49,887.9017367486488
50,864.3376712528153
51,880.6162696178804
52,930.3797388095483
53,912.8571329270841
54,965.6882346153432
55,923.0377075707272
56,928.6719591880951
57,897.5401699831444
58,882.8265309053272
59,828.9551370073747
60,814.6771862202434
61,821.6920062622046
62,855.128951373086
63,850.9374049591642
64,737.753817303473
65,743.0654669367561
66,740.2169234584785
67,729.4547282601623
68,715.6450275001237
69,711.9340687286714
70,457.2438057950345
71,-172.05935165844778
72,-172.05935165844778
73,-56.97057411454227
74,758.9611007105808
75,771.4525256419779
76,728.6589081165941
77,705.6066521458113
78,723.8261481761933
79,729.351759000835
80,727.3147226871274
81,733.9971269394534
82,749.531277513222
83,782.2114001459048
84,783.109291314099
85,786.8833764406877
86,789.5314680382917
87,764.848808980588
88,750.8830270735507
89,740.780286688182
90,716.3327113946241
91,698.9134702456699
92,699.1917371467466
93,766.7873846869702
94,762.3464911280851
95,745.1654689631112
96,731.0195164957828
97,718.322335578866
98,719.5501937691104
99,742.7385757847676
100,741.2309517306983
101,699.6863283488426
102,756.1337080836388
103,754.3384647550562
104,759.8557828853102
105,751.784428991238
106,747.1317923835998
107,744.7555956822057
108,749.6876769949562
109,769.543016488062
110,765.0295993544744
111,769.7176415716611
112,763.1334535223873
113,754.4333538780634
114,759.5794143164409
115,785.5997617936097
116,779.1456773238082
117,799.5673516635345
118,782.386740002011
119,781.4719402322887
120,768.5834793826358
121,761.4150824320012
122,731.2270280622868
123,723.2315577293186
124,732.1379193362613
125,746.3636483518584
126,563.5995369915814
127,594.3559028224524
128,628.081750103232
129,639.4629295841213
130,632.2414710969252
131,629.7634949754909
132,635.540265181888
133,419.6543826709533
134,-116.83712034798873
135,-116.83712034798873
136,-21.98385297060463
137,644.3170261690208
138,659.9892075654753
139,647.4188484486332
140,639.9092413555962
141,634.3643660186369
142,638.2018352750728
143,641.1229841835456
144,636.4300266148363
145,643.1541705981829
146,639.1606571931304
147,638.2010438609634
148,635.237054380773
149,638.5104829548828
150,643.8188740125555
151,638.012789532104
152,634.9654765138162
153,622.2984190936294
154,615.65878463512
155,624.6011463463059
156,633.6722434353967
157,641.2434728795391
158,642.4162764298528
159,642.2929640667832
160,635.1229595091984
161,637.1294321161967
162,645.6290796756091
163,651.4289094635798
164,618.337440692469
165,658.8256269379671
166,662.6489342972865
167,662.931602875383
168,666.6394019830977
169,669.4986527485609
170,670.505226655076
171,666.1510129874919
172,665.7406306169951
173,669.7147048874322
174,671.5050832741852
175,672.2222572020573
176,676.5034208874572
177,671.9921520225892
178,676.7003272489295
179,679.91163681399
180,671.9598983581366
181,677.131184030377
182,670.7226009199451
183,673.8718225717771
184,673.4238198706116
185,664.6955489612067
186,662.3921211829178
187,672.4743358270318
188,669.7804433920307
189,1123.6355513037815
190,875.0418603690435
191,835.2812766291195
192,835.5316585610706
193,820.1913791677824
194,786.7862013698605
195,764.7872664043958
196,492.68790922045866
197,-173.42858084088743
198,-173.42858084088743
199,-45.014245931828555
200,877.8600917097947
201,880.929411785505
202,787.3003130000179
203,738.355764973227
204,800.243704725448
205,807.8575304552432
206,796.2868104551042
207,824.3606140373431
208,853.9800200027898
209,952.9567125238514
210,957.3939591898354
211,973.8831389152867
212,974.6327739606943
213,895.2445493612427
214,868.1321680264143
215,846.1892454247934
216,803.7879316841347
217,768.7540414680291
218,751.4532782312473
219,921.145936730039
220,893.489513973447
221,843.3273265429541
222,804.2274339388342
223,783.400693125052
224,782.7605736975953
225,830.0826516427027
226,814.1660211280517
227,765.489614382353
228,840.6696636996678
229,827.9480345157752
230,842.7239562669996
231,812.7778338116312
232,794.0565320564557
233,785.4122322388779
234,807.9325555926578
235,863.9927185906571
236,843.4053330935267
237,852.8270285644236
238,833.0625063370932
239,800.2085142609355
240,823.6415022170358
241,886.5046643694764
242,862.0607577418614
243,934.9392818929925
244,876.6962789841712
245,887.1050122531858
246,844.888395496331
247,825.8539271747745
248,759.523292371022
249,741.938482171284
250,746.3341539874103
251,791.3502503794027
